Date,Currency,Account Number,CR Amount,DB Amount,Ref Num
8/25/23,USD,abc123,$0.00 ,"$20,000.24 ",def179
8/25/23,USD,abc123,$0.00 ,"$99,500.00 ",def180
8/25/23,USD,abc123,$0.00 ,"$209,365.02 ",def181
8/25/23,USD,abc123,$0.00 ,"$223,277.19 ",def182
8/25/23,USD,abc123,$0.00 ,"$664,000.01 ",def183
8/28/23,USD,abc123,"$3,165,056.00 ",$0.00 ,def184
8/28/23,USD,abc123,"$2,524,987.00 ",$0.00 ,def185
8/28/23,USD,abc123,"$40,750.00 ",$0.00 ,def186
8/28/23,USD,abc123,"$210,000.00 ",$0.00 ,def187
8/28/23,USD,abc123,$0.00 ,"$100,495.00 ",def188
8/28/23,USD,abc123,$0.00 ,"$100,495.00 ",def189
8/28/23,USD,abc123,$0.00 ,"$100,495.00 ",def190
8/28/23,USD,abc123,$0.00 ,"$100,495.00 ",def191
8/28/23,USD,abc123,$0.00 ,"$898,290.00 ",def192
8/28/23,USD,abc123,$0.00 ,"$9,900.00 ",def193
8/28/23,USD,abc123,$0.00 ,"$209,365.02 ",def194
8/28/23,USD,abc123,$0.00 ,"$249,250.00 ",def195
8/28/23,USD,abc123,$0.00 ,"$320,915.88 ",def196
8/28/23,USD,abc123,$0.00 ,"$330,627.02 ",def197
8/28/23,USD,abc123,$0.00 ,"$400,078.55 ",def198
8/28/23,USD,abc123,$0.00 ,"$661,000.00 ",def199
8/28/23,USD,abc123,$0.00 ,"$996,995.02 ",def200
8/28/23,USD,abc123,$0.00 ,"$1,961,470.20 ",def201
8/29/23,USD,abc123,"$3,877,755.00 ",$0.00 ,def202
8/29/23,USD,abc123,$0.00 ,"$274,000.00 ",def203
8/29/23,USD,abc123,$0.00 ,"$299,125.01 ",def204
8/29/23,USD,abc123,$0.00 ,"$331,385.19 ",def205
8/29/23,USD,abc123,$0.00 ,"$998,000.00 ",def206
8/29/23,USD,abc123,$0.00 ,"$1,968,754.60 ",def207
8/30/23,USD,abc123,"$1,999,485.00 ",$0.00 ,def208
8/30/23,USD,abc123,"$2,788,884.00 ",$0.00 ,def209
8/30/23,USD,abc123,"$50,089.00 ",$0.00 ,def210
8/30/23,USD,abc123,"$250,000.00 ",$0.00 ,def211
8/30/23,USD,abc123,$0.00 ,"$100,495.00 ",def212
8/30/23,USD,abc123,$0.00 ,"$137,500.00 ",def213
8/30/23,USD,abc123,$0.00 ,"$148,182.17 ",def214
8/30/23,USD,abc123,$0.00 ,"$335,781.03 ",def215
8/30/23,USD,abc123,$0.00 ,"$763,455.00 ",def216
8/30/23,USD,abc123,$0.00 ,"$998,000.00 ",def217
8/30/23,USD,abc123,$0.00 ,"$1,005,446.00 ",def218
8/30/23,USD,abc123,$0.00 ,"$1,225,684.00 ",def219
8/31/23,USD,abc123,"$1,999,600.00 ",$0.00 ,def220
8/31/23,USD,abc123,"$200,000.00 ",$0.00 ,def221
8/31/23,USD,abc123,$0.00 ,"$150,000.00 ",def222
8/31/23,USD,abc123,$0.00 ,"$79,760.00 ",def223
8/31/23,USD,abc123,$0.00 ,"$100,495.00 ",def224
8/31/23,USD,abc123,$0.00 ,"$99,500.00 ",def225
8/31/23,USD,abc123,$0.00 ,"$99,700.00 ",def226
8/31/23,USD,abc123,$0.00 ,"$199,395.96 ",def227
8/31/23,USD,abc123,$0.00 ,"$235,664.74 ",def228
8/31/23,USD,abc123,$0.00 ,"$660,000.00 ",def229
2009/1/23,USD,abc123,"$4,874,812.00 ",$0.00 ,def230
2009/1/23,USD,abc123,$0.00 ,"$500,000.00 ",def231
2009/1/23,USD,abc123,$0.00 ,"$10,000.00 ",def232
2009/1/23,USD,abc123,$0.00 ,"$90,000.00 ",def233
2009/1/23,USD,abc123,$0.00 ,"$30,018.80 ",def234
2009/1/23,USD,abc123,$0.00 ,"$404,472.38 ",def235
2009/1/23,USD,abc123,$0.00 ,"$99,700.00 ",def236
2009/1/23,USD,abc123,$0.00 ,"$253,960.75 ",def237
2009/1/23,USD,abc123,$0.00 ,"$309,097.80 ",def238
2009/1/23,USD,abc123,$0.00 ,"$928,000.00 ",def239
2009/1/23,USD,abc123,$0.00 ,"$1,426,268.00 ",def240
2009/1/23,USD,abc123,$0.00 ,"$1,789,563.00 ",def241
2009/5/23,USD,abc123,"$1,798,605.00 ",$0.00 ,def242
2009/5/23,USD,abc123,"$99,918.00 ",$0.00 ,def243
2009/5/23,USD,abc123,"$78,255.00 ",$0.00 ,def244
2009/5/23,USDD,abc123,$0.00 ,"$99,500.00 ",def245
2009/5/23,USD,abc123,$0.00 ,"$99,500.00 ",def246
2009/5/23,USD,abc123,$0.00 ,"$100,495.00 ",def247
2009/5/23,USD,abc123,$0.00 ,"$358,294.92 ",def248
2009/5/23,USD,abc123,$0.00 ,"$401,474.95 ",def249
2009/5/23,USD,abc123,$0.00 ,"$4,000.00 ",def250
2009/5/23,USD,abc123,$0.00 ,"$54,725.00 ",def251
2009/5/23,USD,abc123,$0.00 ,"$98,104.80 ",def252
2009/5/23,USD,abc123,$0.00 ,"$258,327.76 ",def253
2009/5/23,USD,abc123,$0.00 ,"$329,039.80 ",def254
2009/5/23,USD,abc123,$0.00 ,"$502,000.00 ",def255
2009/6/23,USD,abc123,"$5,992,626.00 ",$0.00 ,def256
2009/6/23,USD,abc123,"$1,000.00 ",$0.00 ,def257
2009/6/23,USD,abc123,"$103,680.00 ",$0.00 ,def258
2009/6/23,USD,abc123,"$350,000.00 ",$0.00 ,def259
2009/6/23,USD,abc123,$0.00 ,"$99,700.00 ",def260
2009/6/23,USD,abc123,$0.00 ,"$383,573.87 ",def261
2009/6/23,USD,abc123,$0.00 ,"$504,625.91 ",def262
2009/6/23,USD,abc123,$0.00 ,"$833,797.06 ",def263
2009/6/23,USD,abc123,$0.00 ,"$998,200.00 ",def264
2009/6/23,USD,abc123,$0.00 ,"$1,637,203.09 ",def265
2009/6/23,USD,abc123,$0.00 ,"$1,856,497.00 ",def266
2009/7/23,USD,abc123,"$299,751.00 ",$0.00 ,def267
2009/7/23,USD,abc123,"$1,049,099.00 ",$0.00 ,def268
2009/7/23,USD,abc123,"$1,700,000.00 ",$0.00 ,def269
2009/7/23,USD,abc123,"$4,995,500.00 ",$0.00 ,def270
2009/7/23,USD,abc123,"$200,000.00 ",$0.00 ,def271
2009/7/23,USD,abc123,$0.00 ,"$99,500.00 ",def272
2009/7/23,USD,abc123,$0.00 ,"$798,400.00 ",def273
2009/7/23,USD,abc123,$0.00 ,"$997,800.00 ",def274
2009/7/23,USD,abc123,$0.00 ,"$1,778,312.33 ",def275
2009/7/23,USD,abc123,$0.00 ,"$19,800.00 ",def276
2009/7/23,USD,abc123,$0.00 ,"$300,093.80 ",def277
2009/7/23,USD,abc123,$0.00 ,"$407,916.24 ",def278
2009/7/23,USD,abc123,$0.00 ,"$998,200.00 ",def279
2009/7/23,USD,abc123,$0.00 ,"$1,356,497.00 ",def280
2009/7/23,USD,abc123,$0.00 ,"$1,656,266.00 ",def281
2009/8/23,USD,abc123,"$1,399,300.00 ",$0.00 ,def282
2009/8/23,USD,abc123,"$120,000.00 ",$0.00 ,def283
2009/8/23,USD,abc123,$0.00 ,"$99,500.00 ",def284
2009/8/23,USD,abc123,$0.00 ,"$100,495.00 ",def285
2009/8/23,USD,abc123,$0.00 ,"$99,750.00 ",def286
2009/8/23,USD,abc123,$0.00 ,"$199,500.00 ",def287
2009/8/23,USD,abc123,$0.00 ,"$238,531.34 ",def288
2009/8/23,USD,abc123,$0.00 ,"$259,242.80 ",def289
2009/8/23,USD,abc123,$0.00 ,"$560,000.00 ",def290
2009/11/23,USD,abc123,"$3,643,755.00 ",$0.00 ,def291
2009/11/23,USD,abc123,"$130,000.00 ",$0.00 ,def292
2009/11/23,USD,abc123,"$200,000.00 ",$0.00 ,def293
2009/11/23,USD,abc123,$0.00 ,"$359,211.00 ",def294
2009/11/23,USD,abc123,$0.00 ,"$99,500.00 ",def295
2009/11/23,USD,abc123,$0.00 ,"$304,540.77 ",def296
2009/11/23,USD,abc123,$0.00 ,"$383,248.35 ",def297
2009/11/23,USD,abc123,$0.00 ,"$392,771.00 ",def298
2009/11/23,USD,abc123,$0.00 ,"$299,127.75 ",def299
2009/11/23,USD,abc123,$0.00 ,"$500,000.00 ",def300
2009/11/23,USD,abc123,$0.00 ,"$575,666.67 ",def301
2009/11/23,USD,abc123,$0.00 ,"$826,000.00 ",def302
2009/12/23,USD,abc123,"$999,700.00 ",$0.00 ,def303
2009/12/23,USD,abc123,$0.00 ,"$219,340.00 ",def304
2009/12/23,USD,abc123,$0.00 ,"$260,309.46 ",def305
2009/12/23,USD,abc123,$0.00 ,"$299,136.72 ",def306
2009/12/23,USD,abc123,$0.00 ,"$497,000.00 ",def307
9/13/23,USD,abc123,"$1,199,640.00 ",$0.00 ,def308
9/13/23,USD,abc123,"$50,000.00 ",$0.00 ,def309
9/13/23,USD,abc123,$0.00 ,"$295,096.85 ",def310
9/13/23,USD,abc123,$0.00 ,"$299,097.75 ",def311
9/13/23,USD,abc123,$0.00 ,"$551,000.00 ",def312
9/14/23,USD,abc123,"$4,044,131.00 ",$0.00 ,def313
9/14/23,USD,abc123,"$299,970.00 ",$0.00 ,def314
9/14/23,USD,abc123,$0.00 ,"$382,741.67 ",def315
9/14/23,USD,abc123,$0.00 ,"$410,826.09 ",def316
9/14/23,USD,abc123,$0.00 ,"$964,523.00 ",def317
9/14/23,USD,abc123,$0.00 ,"$1,258,752.00 ",def318
9/14/23,USD,abc123,$0.00 ,"$1,345,689.00 ",def319
9/15/23,USD,abc123,"$899,820.00 ",$0.00 ,def320
9/15/23,USD,abc123,$0.00 ,"$231,363.31 ",def321
9/15/23,USD,abc123,$0.00 ,"$249,247.22 ",def322
9/15/23,USD,abc123,$0.00 ,"$497,000.00 ",def323
9/18/23,USD,abc123,"$250,000.00 ",$0.00 ,def324
9/18/23,USD,abc123,"$3,300,330.00 ",$0.00 ,def325
9/18/23,USD,abc123,$0.00 ,"$94,520.12 ",def326
9/18/23,USD,abc123,$0.00 ,"$109,450.00 ",def327
9/18/23,USD,abc123,$0.00 ,"$109,450.00 ",def328
9/18/23,USD,abc123,$0.00 ,"$997,100.00 ",def329
9/18/23,USD,abc123,$0.00 ,"$99,700.21 ",def330
9/18/23,USD,abc123,$0.00 ,"$160,500.00 ",def331
9/18/23,USD,abc123,$0.00 ,"$249,250.00 ",def332
9/18/23,USD,abc123,$0.00 ,"$340,003.51 ",def333
9/18/23,USD,abc123,$0.00 ,"$398,797.22 ",def334
9/18/23,USD,abc123,$0.00 ,"$998,200.00 ",def335
9/19/23,USD,abc123,"$2,399,770.00 ",$0.00 ,def336
9/19/23,USD,abc123,"$130,000.00 ",$0.00 ,def337
9/19/23,USD,abc123,$0.00 ,"$99,500.00 ",def338
9/19/23,USD,abc123,$0.00 ,"$99,720.00 ",def339
9/19/23,USD,abc123,$0.00 ,"$100,100.00 ",def340
9/19/23,USD,abc123,$0.00 ,"$161,514.00 ",def341
9/19/23,USD,abc123,$0.00 ,"$198,434.33 ",def342
9/19/23,USD,abc123,$0.00 ,"$299,127.22 ",def343
9/19/23,USD,abc123,$0.00 ,"$598,920.00 ",def344
9/19/23,USD,abc123,$0.00 ,"$998,200.00 ",def345
9/20/23,USD,abc123,"$999,918.43 ",$0.00 ,def346
9/20/23,USD,abc123,"$149,987.63 ",$0.00 ,def347
9/20/23,USD,abc123,"$10,000.00 ",$0.00 ,def348
9/20/23,USD,abc123,$0.00 ,"$99,500.00 ",def349
9/20/23,USD,abc123,$0.00 ,"$99,799.70 ",def350
9/20/23,USD,abc123,$0.00 ,"$60,000.00 ",def351
9/20/23,USD,abc123,$0.00 ,"$171,982.50 ",def352
9/20/23,USD,abc123,$0.00 ,"$210,214.67 ",def353
9/20/23,USD,abc123,$0.00 ,"$213,171.96 ",def354
9/20/23,USD,abc123,$0.00 ,"$309,956.93 ",def355
9/21/23,USD,abc123,"$4,420,542.00 ",$0.00 ,def356
9/21/23,USD,abc123,"$100,000.00 ",$0.00 ,def357
9/21/23,USD,abc123,"$145,000.00 ",$0.00 ,def358
9/21/23,USD,abc123,"$410,000.00 ",$0.00 ,def359
9/21/23,USD,abc123,$0.00 ,"$99,701.00 ",def360
9/21/23,USD,abc123,$0.00 ,"$1,423.33 ",def361
9/21/23,USD,abc123,$0.00 ,"$100,495.00 ",def362
9/21/23,USD,abc123,$0.00 ,"$160,000.00 ",def363
9/21/23,USD,abc123,$0.00 ,"$199,397.22 ",def364
9/21/23,USD,abc123,$0.00 ,"$204,179.37 ",def365
9/21/23,USD,abc123,$0.00 ,"$765,434.00 ",def366
9/21/23,USD,abc123,$0.00 ,"$1,157,306.28 ",def367
9/21/23,USD,abc123,$0.00 ,"$1,825,636.00 ",def368
9/22/23,USD,abc123,"$2,958,002.00 ",$0.00 ,def369
9/22/23,USD,abc123,"$145,000.00 ",$0.00 ,def370
9/22/23,USD,abc123,$0.00 ,"$277,528.19 ",def371
9/22/23,USD,abc123,$0.00 ,"$319,040.01 ",def372
9/22/23,USD,abc123,$0.00 ,"$998,500.00 ",def373
9/22/23,USD,abc123,$0.00 ,"$161,514.00 ",def374
9/22/23,USD,abc123,$0.00 ,"$299,106.19 ",def375
9/22/23,USD,abc123,$0.00 ,"$303,601.29 ",def376
9/22/23,USD,abc123,$0.00 ,"$998,200.00 ",def377
9/25/23,USD,abc123,"$1,606,600.00 ",$0.00 ,def378
9/25/23,USD,abc123,"$99,997.75 ",$0.00 ,def379
9/25/23,USD,abc123,$0.00 ,"$100,495.00 ",def380
9/25/23,USD,abc123,$0.00 ,"$460,613.93 ",def381
9/25/23,USD,abc123,$0.00 ,"$134,595.00 ",def382
9/25/23,USD,abc123,$0.00 ,"$149,400.00 ",def383
9/25/23,USD,abc123,$0.00 ,"$209,388.22 ",def384
9/25/23,USD,abc123,$0.00 ,"$262,803.79 ",def385
9/25/23,USD,abc123,$0.00 ,"$266,393.34 ",def386
9/25/23,USD,abc123,$0.00 ,"$400,000.00 ",def387
9/26/23,USD,abc123,"$7,755,373.00 ",$0.00 ,def388
9/26/23,USD,abc123,"$50,000.00 ",$0.00 ,def389
9/26/23,USD,abc123,"$63,600.00 ",$0.00 ,def390
9/26/23,USD,abc123,"$266,000.00 ",$0.00 ,def391
9/26/23,USD,abc123,"$1,497,255.00 ",$0.00 ,def392
9/26/23,USD,abc123,$0.00 ,"$2,000.00 ",def393
9/26/23,USD,abc123,$0.00 ,"$249,745.00 ",def394
9/26/23,USD,abc123,$0.00 ,"$300,000.00 ",def395
9/26/23,USD,abc123,$0.00 ,"$358,605.00 ",def396
9/26/23,USD,abc123,$0.00 ,"$499,000.00 ",def397
9/26/23,USD,abc123,$0.00 ,"$149,546.80 ",def398
9/26/23,USD,abc123,$0.00 ,"$326,971.62 ",def399
9/26/23,USD,abc123,$0.00 ,"$398,400.70 ",def400
9/26/23,USD,abc123,$0.00 ,"$499,100.00 ",def401
9/26/23,USD,abc123,$0.00 ,"$500,000.00 ",def402
9/26/23,USD,abc123,$0.00 ,"$1,497,300.00 ",def403
9/26/23,USD,abc123,$0.00 ,"$1,569,924.86 ",def404
9/26/23,USD,abc123,$0.00 ,"$1,652,673.00 ",def405
9/27/23,USD,abc123,"$3,996,400.00 ",$0.00 ,def406
9/27/23,USD,abc123,$0.00 ,"$2,000.00 ",def407
9/27/23,USD,abc123,$0.00 ,"$9,800.77 ",def408
9/27/23,USD,abc123,$0.00 ,"$49,747.02 ",def409
9/27/23,USD,abc123,$0.00 ,"$99,500.00 ",def410
9/27/23,USD,abc123,$0.00 ,"$100,495.00 ",def411
9/27/23,USD,abc123,$0.00 ,"$430,078.50 ",def412
9/27/23,USD,abc123,$0.00 ,"$169,830.00 ",def413
9/27/23,USD,abc123,$0.00 ,"$299,106.77 ",def414
9/27/23,USD,abc123,$0.00 ,"$332,873.19 ",def415
9/27/23,USD,abc123,$0.00 ,"$639,255.00 ",def416
9/27/23,USD,abc123,$0.00 ,"$858,000.00 ",def417
9/27/23,USD,abc123,$0.00 ,"$996,996.80 ",def418
9/27/23,USD,abc123,$0.00 ,"$1,064,425.12 ",def419
9/28/23,USD,abc123,"$5,996,400.00 ",$0.00 ,def420
9/28/23,USD,abc123,"$700,501.41 ",$0.00 ,def421
9/28/23,USD,abc123,$0.00 ,"$100,495.00 ",def422
9/28/23,USD,abc123,$0.00 ,"$149,250.00 ",def423
9/28/23,USD,abc123,$0.00 ,"$268,613.42 ",def424
9/28/23,USD,abc123,$0.00 ,"$171,828.00 ",def425
9/28/23,USD,abc123,$0.00 ,"$199,900.00 ",def426
9/28/23,USD,abc123,$0.00 ,"$223,405.42 ",def427
9/28/23,USD,abc123,$0.00 ,"$299,196.71 ",def428
9/28/23,USD,abc123,$0.00 ,"$498,900.00 ",def429
9/28/23,USD,abc123,$0.00 ,"$931,308.67 ",def430
9/28/23,USD,abc123,$0.00 ,"$998,200.00 ",def431
9/28/23,USD,abc123,$0.00 ,"$1,501,983.53 ",def432
9/28/23,USD,abc123,$0.00 ,"$1,876,587.00 ",def433
9/29/23,USD,abc123,"$30,000.00 ",$0.00 ,def434
9/29/23,USD,abc123,$0.00 ,"$2,234.60 ",def435
9/29/23,USD,abc123,$0.00 ,"$119,400.00 ",def436
2010/2/23,USD,abc123,"$2,140,000.00 ",$0.00 ,def437
2010/2/23,USD,abc123,"$2,000,800.00 ",$0.00 ,def438
2010/2/23,USD,abc123,$0.00 ,"$99,500.00 ",def439
2010/2/23,USD,abc123,$0.00 ,"$99,500.00 ",def440
2010/2/23,USD,abc123,$0.00 ,"$99,500.00 ",def441
2010/2/23,USD,abc123,$0.00 ,"$99,700.00 ",def442
2010/2/23,USD,abc123,$0.00 ,"$179,100.00 ",def443
2010/2/23,USD,abc123,$0.00 ,"$218,233.12 ",def444
2010/2/23,USD,abc123,$0.00 ,"$998,200.00 ",def445
2010/3/23,USD,abc123,"$50,000.00 ",$0.00 ,def446
2010/3/23,USD,abc123,$0.00 ,"$344,477.11 ",def447
2010/3/23,USD,abc123,$0.00 ,"$98,104.80 ",def448
2010/3/23,USD,abc123,$0.00 ,"$99,496.81 ",def449
2010/3/23,USD,abc123,$0.00 ,"$408,770.00 ",def450
2010/4/23,USD,abc123,"$2,000,000.00 ",$0.00 ,def451
2010/4/23,USD,abc123,$0.00 ,"$9,800.00 ",def452
2010/4/23,USD,abc123,$0.00 ,"$359,932.16 ",def453
2010/4/23,USD,abc123,$0.00 ,"$466,144.66 ",def454
2010/4/23,USD,abc123,$0.00 ,"$10,000.00 ",def455
2010/4/23,USD,abc123,$0.00 ,"$53,087.95 ",def456
2010/4/23,USD,abc123,$0.00 ,"$99,496.81 ",def457
2010/4/23,USD,abc123,$0.00 ,"$100,000.00 ",def458
2010/4/23,USD,abc123,$0.00 ,"$118,279.04 ",def459
2010/4/23,USD,abc123,$0.00 ,"$199,000.00 ",def460
2010/5/23,USD,abc123,"$300,750.00 ",$0.00 ,def461
2010/5/23,USD,abc123,$0.00 ,"$99,500.00 ",def462
2010/5/23,USD,abc123,$0.00 ,"$100,495.00 ",def463
2010/5/23,USD,abc123,$0.00 ,"$49,003.75 ",def464
2010/5/23,USD,abc123,$0.00 ,"$71,835.81 ",def465
2010/6/23,USD,abc123,$0.00 ,"$80,757.00 ",def466
2010/6/23,USD,abc123,$0.00 ,"$99,500.00 ",def467
2010/6/23,USD,abc123,$0.00 ,"$998,200.00 ",def468
2010/6/23,USD,abc123,$0.00 ,"$122,946.84 ",def469
2010/6/23,USD,abc123,$0.00 ,"$152,234.52 ",def470
2010/10/23,USD,abc123,"$2,470,200.00 ",$0.00 ,def471
2010/10/23,USD,abc123,"$5,624,504.55 ",$0.00 ,def472
2010/10/23,USD,abc123,$0.00 ,"$59,700.00 ",def473
2010/10/23,USD,abc123,$0.00 ,"$129,350.00 ",def474
2010/10/23,USD,abc123,$0.00 ,"$149,250.00 ",def475
2010/10/23,USD,abc123,$0.00 ,"$149,250.00 ",def476
2010/10/23,USD,abc123,$0.00 ,"$184,445.00 ",def477
2010/10/23,USD,abc123,$0.00 ,"$231,065.87 ",def478
2010/10/23,USD,abc123,$0.00 ,"$237,507.00 ",def479
2010/10/23,USD,abc123,$0.00 ,"$396,142.84 ",def480
2010/10/23,USD,abc123,$0.00 ,"$425,909.50 ",def481
2010/10/23,USD,abc123,$0.00 ,"$499,000.00 ",def482
2010/10/23,USD,abc123,$0.00 ,"$19,600.00 ",def483
2010/10/23,USD,abc123,$0.00 ,"$124,010.00 ",def484
2010/10/23,USD,abc123,$0.00 ,"$129,350.00 ",def485
2010/10/23,USD,abc123,$0.00 ,"$162,837.00 ",def486
2010/10/23,USD,abc123,$0.00 ,"$250,000.00 ",def487
2010/10/23,USD,abc123,$0.00 ,"$389,551.61 ",def488
2010/10/23,USD,abc123,$0.00 ,"$448,647.38 ",def489
2010/10/23,USD,abc123,$0.00 ,"$687,654.00 ",def490
2010/10/23,USD,abc123,$0.00 ,"$1,647,454.00 ",def491
2010/10/23,USD,abc123,$0.00 ,"$1,658,892.00 ",def492
2010/11/23,USD,abc123,"$3,599,601.00 ",$0.00 ,def493
2010/11/23,USD,abc123,$0.00 ,"$100,000.00 ",def494
2010/11/23,USD,abc123,$0.00 ,"$100,495.00 ",def495
2010/11/23,USD,abc123,$0.00 ,"$133,137.73 ",def496
2010/11/23,USD,abc123,$0.00 ,"$149,250.00 ",def497
2010/11/23,USD,abc123,$0.00 ,"$846,714.80 ",def498
2010/11/23,USD,abc123,$0.00 ,"$1,156,554.00 ",def499
2010/11/23,USD,abc123,$0.00 ,"$1,756,549.00 ",def500
2010/12/23,USD,abc123,"$100,000.00 ",$0.00 ,def501
2010/12/23,USD,abc123,"$268,000.00 ",$0.00 ,def502
2010/12/23,USD,abc123,$0.00 ,"$82,283.88 ",def503
2010/12/23,USD,abc123,$0.00 ,"$109,450.00 ",def504
2010/12/23,USD,abc123,$0.00 ,"$118,000.00 ",def505
2010/12/23,USD,abc123,$0.00 ,"$109,714.18 ",def506
10/13/23,USD,abc123,"$1,999,056.17 ",$0.00 ,def507
10/13/23,USD,abc123,"$1,499,183.14 ",$0.00 ,def508
10/13/23,USD,abc123,"$14,000.00 ",$0.00 ,def509
10/13/23,USD,abc123,$0.00 ,"$9,900.00 ",def510
10/13/23,USD,abc123,$0.00 ,"$119,393.13 ",def511
10/13/23,USD,abc123,$0.00 ,"$125,775.00 ",def512
10/13/23,USD,abc123,$0.00 ,"$10,259.37 ",def513
10/13/23,USD,abc123,$0.00 ,"$124,875.00 ",def514
10/13/23,USD,abc123,$0.00 ,"$258,098.63 ",def515
10/13/23,USD,abc123,$0.00 ,"$602,299.66 ",def516
10/13/23,USD,abc123,$0.00 ,"$1,000,000.00 ",def517
10/13/23,USD,abc123,$0.00 ,"$1,125,936.05 ",def518
10/16/23,USD,abc123,"$3,000,000.00 ",$0.00 ,def519
10/16/23,USD,abc123,"$5,013,756.52 ",$0.00 ,def520
10/16/23,USD,abc123,"$10,000.00 ",$0.00 ,def521
10/16/23,USD,abc123,"$190,979.00 ",$0.00 ,def522
10/16/23,USD,abc123,$0.00 ,"$9,900.00 ",def523
10/16/23,USD,abc123,$0.00 ,"$49,500.00 ",def524
10/16/23,USD,abc123,$0.00 ,"$50,000.00 ",def525
10/16/23,USD,abc123,$0.00 ,"$99,500.00 ",def526
10/16/23,USD,abc123,$0.00 ,"$99,500.00 ",def527
10/16/23,USD,abc123,$0.00 ,"$99,599.50 ",def528
10/16/23,USD,abc123,$0.00 ,"$998,000.00 ",def529
10/16/23,USD,abc123,$0.00 ,"$119,880.00 ",def530
10/16/23,USD,abc123,$0.00 ,"$199,600.00 ",def531
10/16/23,USD,abc123,$0.00 ,"$398,801.99 ",def532
10/16/23,USD,abc123,$0.00 ,"$437,803.75 ",def533
10/16/23,USD,abc123,$0.00 ,"$485,452.15 ",def534
10/16/23,USD,abc123,$0.00 ,"$998,000.00 ",def535
